 BEGINING,TEST,HERE
"(585, 404)","(685, 404)","(763.270794246404, 517)"
"(587, 404)","(686, 405)","(806.2333333333333, 539)"
"(587, 404)","(685, 405)","(783.2842105263156, 588)"
Accuarcy Avg,19.379632220320374,N/A
Accuarcy,"[20.519564261622044, 16.25967815547638, 20.572194312857903, 19.126616481128654, 20.81838211663823, 17.574998827039273, 18.394017641288315, 20.734540876075112, 20.98600559570126, 17.902563498622325, 21.401480743736364, 18.61118896146883, 18.53494283464183, 20.790915901790854, 20.38396864134303, 19.066172052913146, 20.908182014562787, 18.084464574910438, 20.57095647135254, 20.266607148813367, 15.995709913416151, 18.84875782164948]",N/A
Precision,0.029605765567872873,N/A
=====,=====,=====
"(586, 404)","(688, 404)","(823.6083333333332, 505)"
"(586, 404)","(684, 404)","(794.2464040025015, 492)"
"(586, 404)","(687, 404)","(838.874358974359, 517)"
"(586, 404)","(684, 404)","(788.0512820512821, 550)"
"(585, 404)","(686, 404)","(823.5394736842104, 505)"
"(584, 404)","(684, 404)","(787.2166666666667, 505)"
"(585, 404)","(685, 404)","(826.8105065666041, 484)"
"(585, 404)","(685, 404)","(815.4736842105264, 492)"
"(584, 405)","(685, 404)","(810.6838649155721, 530)"
"(585, 404)","(685, 403)","(820.6153846153845, 486)"
"(585, 405)","(685, 404)","(820.6153846153845, 530)"
"(585, 404)","(684, 404)","(809.890243902439, 529)"
"(586, 404)","(686, 404)","(828.1125703564727, 517)"
"(586, 404)","(685, 405)","(804.9666666666666, 539)"
"(585, 403)","(685, 404)","(821.6688061617458, 525)"
"(585, 404)","(685, 403)","(795.040650406504, 486)"
"(585, 404)","(686, 404)","(811.9615384615383, 563)"
"(585, 404)","(686, 404)","(800.2282894736843, 529)"
"(586, 404)","(684, 404)","(820.2083333333333, 526)"
"(585, 404)","(684, 404)","(787.4307692307692, 505)"
"(585, 403)","(686, 403)","(780.1666666666666, 491)"
"(585, 403)","(683, 404)","(780.8210526315788, 504)"
Accuarcy Avg,41.36198953236164,N/A
Accuarcy,"[40.474882102143695, 42.301340213959335, 39.470842313468324, 42.53018927424056, 40.47912541707731, 42.64450304005123, 40.40710732964271, 41.04284519796258, 41.18973743027562, 40.77121761643543, 40.58359163930831, 41.23904536128279, 40.14823552542568, 41.52742993002962, 40.52705866752745, 42.29182155652441, 41.140134310802424, 41.817268618857106, 40.6150774462263, 42.632158094498216, 43.11507780211916, 43.01508082409795]",N/A
Precision,0.045103174501931485,N/A
=====,=====,=====
"(587, 404)","(686, 405)","(844.2879924953095, 539)"
"(586, 404)","(685, 403)","(837.1490384615385, 489)"
"(586, 403)","(687, 404)","(850.9, 504)"
"(586, 404)","(686, 403)","(828.1125703564727, 528)"
"(587, 403)","(685, 403)","(842.7000000000002, 503)"
"(586, 404)","(685, 404)","(842.9615384615383, 538)"
"(586, 404)","(687, 404)","(865.0966463414634, 505)"
"(586, 404)","(686, 405)","(876.2401500938087, 539)"
"(584, 404)","(684, 404)","(825.5084427767354, 505)"
"(587, 404)","(684, 403)","(814.7435897435898, 486)"
"(587, 402)","(686, 404)","(844.2879924953095, 503)"
"(586, 403)","(685, 404)","(832.0032894736842, 538)"
"(587, 404)","(685, 404)","(832.6578947368421, 563)"
"(587, 404)","(687, 404)","(866.6552631578949, 563)"
"(586, 403)","(687, 404)","(866.8125, 517)"
"(585, 404)","(687, 404)","(854.523076923077, 529)"
"(587, 404)","(687, 404)","(849.851219512195, 453)"
"(587, 404)","(688, 404)","(878.3067542213885, 529)"
"(586, 404)","(686, 404)","(849.3947368421052, 505)"
"(586, 404)","(688, 405)","(871.7916666666666, 539)"
"(586, 404)","(685, 405)","(837.1490384615385, 539)"
"(586, 404)","(686, 404)","(864.4170731707317, 505)"
Accuarcy Avg,54.48373547711223,N/A
Accuarcy,"[54.632556665316095, 54.94649853267158, 54.42581131406814, 55.206483694518134, 54.72149160098411, 54.68004002850937, 53.904938879415404, 53.4562164480639, 55.3209697938872, 55.72582278958941, 54.66490134331745, 55.06753111777963, 55.05658050975605, 53.82951036628881, 53.823662331041426, 54.265896702055606, 54.613375788300566, 53.38096921632288, 54.478388522235434, 53.62401462145059, 54.886432074514836, 53.93008815638239]",N/A
Precision,0.07293309889648245,N/A
=====,=====,=====
"(582, 405)","(678, 405)","(678.0789473684212, 564)"
"(582, 404)","(681, 404)","(719.7480769230768, 492)"
"(581, 405)","(681, 405)","(687.6282051282052, 564)"
"(582, 405)","(679, 404)","(677.8170731707316, 530)"
"(581, 404)","(679, 404)","(663.1578947368422, 492)"
"(580, 404)","(681, 405)","(670.0984756097561, 500)"
"(582, 405)","(680, 404)","(678.3250000000002, 530)"
"(582, 404)","(682, 404)","(718.3219512195122, 492)"
"(582, 405)","(681, 404)","(703.9605769230769, 581)"
"(584, 404)","(682, 405)","(728.4052532833022, 551)"
"(583, 405)","(681, 405)","(679.4296435272045, 515)"
"(583, 404)","(682, 406)","(698.2467105263157, 552)"
"(584, 405)","(681, 406)","(704.6698717948718, 528)"
"(583, 405)","(682, 405)","(696.1851156973108, 541)"
"(583, 405)","(684, 406)","(706.5961538461538, 578)"
"(583, 405)","(682, 406)","(673.0448717948718, 578)"
"(585, 405)","(684, 405)","(714.6557223264541, 552)"
"(585, 404)","(684, 405)","(698.3864915572233, 500)"
"(583, 405)","(683, 406)","(705.6326923076923, 578)"
"(584, 404)","(683, 406)","(713.5293933708568, 552)"
"(583, 405)","(682, 405)","(649.9769736842105, 541)"
"(584, 405)","(683, 405)","(713.5293933708568, 541)"
Accuarcy Avg,35.39427858915366,N/A
Accuarcy,"[33.44288289554347, 38.44981006971495, 34.077630069451466, 34.61703163195047, 35.26629690685217, 35.32928006706928, 34.64856453887651, 38.370855003758756, 34.66796184162542, 37.07515396027981, 35.28239376569868, 35.14818209839452, 36.33511077263372, 35.375993756180584, 34.92524106419034, 32.652770849704176, 36.18892419175439, 36.95915187656655, 34.8611882141733, 36.11806058522348, 32.42727352655642, 36.45437127518202]",N/A
Precision,0.029918328392863992,N/A
=====,=====,=====
"(586, 404)","(686, 405)","(751.4842105263158, 617)"
"(585, 405)","(683, 404)","(738.4474358974358, 530)"
"(585, 405)","(684, 405)","(746.4005628517824, 552)"
"(584, 404)","(685, 404)","(761.4000000000001, 492)"
"(585, 404)","(686, 405)","(756.896794871795, 514)"
"(586, 403)","(686, 403)","(779.984990619137, 476)"
"(586, 403)","(684, 402)","(716.8815789473684, 501)"
"(585, 403)","(684, 403)","(723.1673076923076, 491)"
"(585, 402)","(684, 404)","(700.4546052631579, 476)"
"(587, 403)","(686, 403)","(767.9875, 538)"
"(585, 403)","(686, 404)","(735.0059210526316, 525)"
"(587, 404)","(686, 404)","(752.075, 518)"
"(582, 405)","(682, 404)","(712.6303939962477, 540)"
"(583, 405)","(682, 404)","(705.0753205128206, 493)"
"(587, 404)","(686, 404)","(735.325, 514)"
"(585, 403)","(684, 402)","(749.7118421052631, 475)"
"(585, 403)","(683, 404)","(708.4372469635626, 525)"
"(584, 403)","(681, 403)","(718.5045731707318, 525)"
"(584, 403)","(683, 403)","(782.604268292683, 537)"
"(583, 403)","(682, 402)","(730.7039473684212, 512)"
"(583, 402)","(682, 401)","(727.375, 489)"
"(584, 403)","(683, 402)","(722.027564102564, 490)"
Accuarcy Avg,23.047233386007253,N/A
Accuarcy,"[15.799290856121354, 21.748536584618012, 20.340859128162286, 25.712899393229108, 23.82420600991421, 27.673338346144334, 23.39794602208759, 24.42725484325713, 25.10914754078094, 22.528077025358527, 22.017315355114462, 23.29938331505663, 19.892714749757932, 23.760477979624493, 22.936027052012978, 26.58534834371214, 21.069959196189764, 21.399274456012943, 23.388873052324975, 22.929710024409506, 24.722120113274286, 24.47637510499582]",N/A
Precision,0.01849235555258169,N/A
=====,=====,=====
"(589, 403)","(687, 403)","(759.4653846153847, 491)"
"(589, 403)","(687, 403)","(801.5897435897435, 512)"
"(587, 403)","(687, 403)","(765.6747967479674, 561)"
"(589, 403)","(689, 403)","(786.4615384615385, 538)"
"(589, 403)","(689, 403)","(780.8562753036438, 491)"
"(589, 403)","(689, 403)","(793.4250000000001, 528)"
"(588, 403)","(687, 403)","(742.9326923076924, 491)"
"(588, 403)","(688, 404)","(779.634278002699, 525)"
"(588, 403)","(687, 403)","(756.7827442827443, 517)"
"(587, 404)","(687, 403)","(752.6657894736842, 517)"
"(589, 403)","(689, 403)","(780.8562753036438, 517)"
"(588, 402)","(690, 403)","(761.475, 454)"
"(589, 403)","(688, 403)","(756.1184210526316, 517)"
"(589, 403)","(688, 403)","(744.098076923077, 501)"
"(590, 403)","(690, 403)","(808.421052631579, 476)"
"(588, 402)","(687, 402)","(745.9008097165993, 460)"
"(587, 403)","(689, 402)","(780.0647773279352, 501)"
"(588, 403)","(688, 403)","(759.8743589743591, 569)"
"(590, 403)","(689, 402)","(781.4672739541161, 501)"
"(588, 403)","(687, 403)","(742.9326923076924, 538)"
"(587, 404)","(688, 404)","(754.9342105263157, 539)"
"(589, 403)","(689, 403)","(780.8562753036438, 538)"
Accuarcy Avg,27.764109915837114,N/A
Accuarcy,"[29.57327865026965, 25.985167978988372, 25.083437163703955, 25.117652903468386, 28.458653464263964, 25.35472154228943, 30.465081720418958, 26.3441459164196, 28.168295467902958, 28.410737883479978, 26.781423844182065, 31.748046392949565, 28.207327873592313, 29.826086604211227, 28.169151486376638, 32.12423611765413, 27.85192695913997, 25.049900850340872, 27.777706247824547, 27.83785872666151, 27.017342531551215, 25.458237822727227]",N/A
Precision,0.022408265535559368,N/A
=====,=====,=====
"(588, 403)","(685, 402)","(789.5048076923077, 527)"
"(587, 403)","(686, 402)","(806.2333333333333, 548)"
"(587, 402)","(687, 403)","(823.1999999999999, 475)"
"(588, 403)","(687, 403)","(813.7195121951219, 561)"
"(588, 401)","(688, 402)","(792.1833333333334, 468)"
"(588, 403)","(688, 402)","(805.8947368421052, 541)"
"(588, 403)","(689, 404)","(809.1759615384615, 596)"
"(589, 403)","(688, 403)","(813.4197031039137, 578)"
"(589, 402)","(689, 402)","(837.4263157894736, 469)"
"(588, 403)","(687, 403)","(775.2163461538462, 491)"
"(589, 403)","(687, 403)","(785.2307692307693, 528)"
"(589, 403)","(688, 404)","(796.6170715249664, 616)"
"(589, 403)","(688, 403)","(791.5762820512821, 538)"
"(588, 402)","(688, 403)","(797.9310810810811, 563)"
"(590, 403)","(689, 402)","(831.0910931174088, 541)"
"(589, 402)","(690, 403)","(826.4307692307691, 548)"
"(589, 402)","(689, 403)","(819.2307692307692, 476)"
"(589, 403)","(689, 403)","(814.0566801619433, 578)"
"(588, 402)","(689, 403)","(788.0434210526317, 550)"
"(588, 402)","(689, 403)","(836.7710526315789, 585)"
"(589, 402)","(688, 403)","(796.6170715249664, 512)"
"(590, 402)","(688, 403)","(807.1578947368421, 490)"
Accuarcy Avg,43.481952410618646,N/A
Accuarcy,"[44.49839578670565, 43.21697776820693, 44.019242198212964, 42.5646279406044, 45.667742188868765, 43.37248555225346, 42.22878645713567, 42.27741714571797, 43.486512121591, 45.93959156479813, 44.69428507723496, 42.66873649070325, 44.177705945780424, 43.38487814843704, 42.01733930888357, 42.12363561091265, 44.186270359333164, 42.24176583730959, 44.13757354698971, 40.819263781754316, 44.45133458491038, 44.42838561726621]",N/A
Precision,0.0365161106729467,N/A
=====,=====,=====
"(591, 402)","(692, 402)","(871.7820512820513, 456)"
"(591, 401)","(692, 403)","(838.8846153846154, 533)"
"(592, 401)","(693, 402)","(891.046052631579, 562)"
"(591, 402)","(690, 403)","(828.7856225930681, 585)"
"(591, 402)","(692, 403)","(848.8404183535763, 569)"
"(592, 402)","(691, 402)","(833.6902834008097, 500)"
"(591, 402)","(693, 403)","(872.4615384615385, 561)"
"(591, 403)","(692, 402)","(851.0047233468285, 556)"
"(591, 403)","(690, 403)","(843.7355769230769, 549)"
"(591, 403)","(691, 403)","(834.622889305816, 549)"
"(591, 402)","(693, 402)","(862.5846153846154, 568)"
"(592, 401)","(692, 403)","(862.173076923077, 548)"
"(591, 402)","(689, 402)","(831.740890688259, 556)"
"(591, 402)","(691, 403)","(843.421052631579, 537)"
"(591, 402)","(690, 403)","(832.3906882591093, 561)"
"(591, 402)","(692, 402)","(857.5842105263157, 548)"
"(592, 401)","(691, 402)","(856.7401315789474, 536)"
"(590, 401)","(692, 402)","(861.2410256410257, 511)"
"(591, 401)","(691, 402)","(843.421052631579, 588)"
"(592, 401)","(689, 402)","(837.296586059744, 536)"
"(591, 400)","(692, 402)","(862.8908523908525, 495)"
"(591, 401)","(691, 403)","(849.908906882591, 523)"
Accuarcy Avg,55.15376855717827,N/A
Accuarcy,"[55.29719896094442, 55.61167238435878, 53.55393353077586, 55.58405384374282, 55.00394065112417, 56.06676481592793, 54.23498179174544, 55.02337153442831, 55.32352756821249, 55.628560317255506, 54.5322996314314, 54.700332588193795, 55.673506868774595, 55.428366411156425, 55.616875665467056, 54.85912824058783, 54.986720971582166, 55.05892908446912, 55.067821967981075, 55.64004447760727, 55.161358418535755, 55.32951853361998]",N/A
Precision,0.08364588017405947,N/A
=====,=====,=====
"(586, 402)","(685, 402)","(724.3070512820512, 537)"
"(585, 403)","(683, 402)","(682.3727329580988, 537)"
"(585, 401)","(682, 403)","(657.4592948717948, 533)"
"(585, 402)","(684, 403)","(675.1730769230769, 603)"
"(587, 402)","(686, 403)","(720.25, 563)"
"(588, 402)","(685, 402)","(694.4807692307693, 500)"
"(587, 403)","(686, 403)","(727.9807692307692, 604)"
"(587, 402)","(686, 404)","(702.6624999999999, 635)"
"(588, 401)","(686, 403)","(714.0199146514937, 507)"
"(587, 403)","(685, 404)","(710.6720647773278, 607)"
"(587, 402)","(685, 403)","(710.6720647773278, 550)"
"(587, 402)","(685, 403)","(705.7368421052631, 594)"
"(587, 401)","(683, 402)","(682.65478424015, 508)"
"(587, 402)","(685, 402)","(708.5692307692308, 537)"
"(586, 402)","(685, 402)","(677.523616734143, 568)"
"(587, 401)","(685, 402)","(710.6720647773278, 496)"
"(586, 401)","(684, 403)","(701.8421052631578, 523)"
"(588, 401)","(685, 402)","(727.5512820512821, 523)"
"(587, 401)","(687, 402)","(704.0526315789473, 523)"
"(586, 403)","(685, 402)","(660.7999325236167, 556)"
"(586, 401)","(686, 402)","(702.9473684210526, 536)"
Accuarcy Avg,42.32516452926852,N/A
Accuarcy,"[43.79359518123808, 42.14688304666423, 41.369929214286856, 38.91508979144878, 42.60283653004788, 44.18801369798516, 41.360682557667126, 38.92251826962389, 44.59828752485565, 40.427653294689236, 42.7267770092781, 40.719459856364836, 43.42547502253028, 43.17361867624763, 40.577625570448184, 44.92263617946109, 43.49273023504367, 44.466835315245156, 43.576233664930115, 40.42742996941514, 42.9941445071679]",N/A
Precision,0.026945144618932115,N/A
=====,=====,=====
"(589, 402)","(687, 402)","(727.1564102564103, 594)"
"(587, 402)","(687, 403)","(738.9729729729729, 674)"
"(589, 401)","(687, 402)","(772.3157894736842, 548)"
"(589, 402)","(687, 402)","(738.7368421052632, 568)"
"(589, 402)","(687, 402)","(746.0553306342781, 568)"
"(587, 401)","(687, 401)","(737.578947368421, 522)"
"(589, 401)","(689, 402)","(753.6923076923077, 593)"
"(592, 402)","(689, 402)","(771.9710526315789, 603)"
"(590, 401)","(689, 402)","(754.2820512820513, 562)"
"(590, 401)","(688, 402)","(721.3973684210526, 573)"
"(591, 401)","(688, 402)","(744.8535256410255, 573)"
"(589, 402)","(688, 402)","(744.098076923077, 603)"
"(590, 401)","(688, 402)","(755.0289473684211, 511)"
"(590, 401)","(689, 402)","(754.7782894736843, 536)"
"(590, 401)","(689, 401)","(712.8785256410257, 535)"
"(591, 402)","(689, 403)","(731.5519568151147, 635)"
"(591, 402)","(689, 402)","(748.3940620782727, 537)"
"(590, 401)","(689, 403)","(738.7907894736843, 548)"
"(590, 402)","(689, 402)","(741.8731808731809, 594)"
"(591, 401)","(689, 403)","(741.5661815661815, 603)"
"(591, 401)","(688, 401)","(714.1514844804318, 521)"
"(593, 401)","(690, 402)","(763.2205128205128, 562)"
Accuarcy Avg,32.684535127157005,N/A
Accuarcy,"[30.674136714360692, 24.70002675194363, 35.032105664372466, 32.85112542241627, 33.013413283221894, 36.04654990254401, 31.396043277109843, 31.210821886076054, 33.630132547891286, 32.13743131286475, 32.626555915336105, 30.40034422185449, 37.09771966224795, 35.43263305430957, 34.75598877484434, 27.594972406378048, 35.23149124835558, 34.2770737736322, 31.016005863408772, 30.334476015571166, 35.75176479876881, 33.84896029994624]",N/A
Precision,0.015877502169002973,N/A
=====,=====,=====
"(592, 403)","(691, 403)","(790.057894736842, 615)"
"(592, 402)","(689, 404)","(762.0307692307692, 604)"
"(592, 402)","(692, 403)","(771.6848030018762, 537)"
"(592, 402)","(692, 402)","(775.4684210526316, 537)"
"(595, 403)","(693, 403)","(793.1368421052631, 604)"
"(593, 402)","(691, 403)","(764.2269230769231, 563)"
"(593, 403)","(691, 403)","(812.7884615384615, 538)"
"(592, 402)","(691, 403)","(754.6350844277674, 563)"
"(593, 402)","(692, 402)","(787.9565353345841, 537)"
"(592, 401)","(693, 403)","(797.7708333333334, 548)"
"(593, 402)","(693, 403)","(781.9044871794872, 594)"
"(594, 402)","(694, 403)","(786.9662618083671, 563)"
"(594, 402)","(693, 403)","(815.7333119383826, 585)"
"(593, 402)","(692, 403)","(791.2894736842104, 614)"
"(593, 401)","(692, 403)","(775.2269736842105, 573)"
"(592, 401)","(692, 402)","(758.5736842105263, 536)"
"(594, 401)","(693, 402)","(785.9210526315788, 562)"
"(595, 401)","(693, 402)","(760.0894736842106, 536)"
"(594, 401)","(694, 403)","(783.1205128205129, 573)"
"(594, 401)","(693, 403)","(776.4335526315789, 573)"
"(594, 402)","(693, 402)","(766.0125, 613)"
"(594, 401)","(694, 403)","(783.1205128205129, 573)"
Accuarcy Avg,34.986216228455994,N/A
Accuarcy,"[31.740731141679426, 33.57852147472236, 37.32053680027164, 37.2035919661002, 32.352479826042426, 36.00091456840937, 36.07421326334953, 36.34234984955662, 36.82872518779957, 35.85009442353767, 33.42647875415278, 35.230682491564274, 32.85818758798796, 31.758638931668095, 34.999564325153614, 37.795468972046024, 35.328009939500305, 37.74662840412879, 34.72487579691807, 34.957104045729636, 32.85408347879533, 34.72487579691807]",N/A
Precision,0.0244943042394475,N/A
=====,=====,=====
"(594, 401)","(694, 402)","(810.0842105263159, 562)"
"(593, 401)","(691, 401)","(784.0890688259109, 612)"
"(594, 400)","(691, 402)","(796.9471153846154, 601)"
"(595, 400)","(694, 402)","(832.4791666666665, 572)"
"(595, 401)","(694, 402)","(810.7131578947369, 613)"
"(595, 401)","(694, 402)","(810.7131578947369, 593)"
"(595, 401)","(695, 401)","(844.4407894736842, 535)"
"(596, 400)","(695, 402)","(833.7708333333333, 532)"
"(595, 401)","(694, 402)","(826.8256578947369, 584)"
"(594, 401)","(693, 402)","(815.0999999999999, 573)"
"(595, 400)","(693, 402)","(799.2205128205128, 546)"
"(594, 401)","(693, 402)","(782.5125, 536)"
"(595, 402)","(693, 402)","(819.9919028340081, 603)"
"(595, 401)","(694, 402)","(804.1029014844805, 562)"
"(595, 401)","(695, 403)","(826.9230769230769, 573)"
"(595, 401)","(694, 402)","(826.8256578947369, 584)"
"(595, 401)","(693, 402)","(815.3205128205128, 562)"
"(595, 401)","(694, 402)","(793.2307692307693, 613)"
"(595, 401)","(694, 402)","(799.8410256410257, 559)"
"(595, 401)","(694, 402)","(810.7131578947369, 573)"
"(595, 401)","(692, 402)","(768.9868421052631, 573)"
"(594, 401)","(693, 402)","(792.0, 584)"
Accuarcy Avg,46.85699081909638,N/A
Accuarcy,"[47.179117095871995, 46.91256403445107, 46.64354837484085, 45.96804915350193, 45.721318549751835, 46.272573798444625, 46.65221858715729, 47.156917401095775, 45.84494011609599, 46.65771655981924, 48.0621937419155, 48.97069049466384, 45.5890213985205, 47.4181698155298, 46.168832666288615, 45.84494011609599, 46.968916962577715, 46.490830310137056, 47.67181880597042, 46.83794121355432, 48.51781338567338, 47.30366543816273]",N/A
Precision,0.051893405696536825,N/A
=====,=====,=====
"(596, 401)","(695, 402)","(845.0953947368421, 562)"
"(596, 401)","(696, 402)","(850.9807692307692, 536)"
"(595, 401)","(694, 401)","(876.8592105263159, 535)"
"(595, 400)","(694, 401)","(849.0048076923077, 509)"
"(597, 401)","(695, 402)","(839.1025641025641, 562)"
"(598, 401)","(695, 403)","(845.5539473684211, 573)"
"(598, 402)","(697, 403)","(874.6716697936209, 614)"
"(597, 401)","(695, 402)","(834.4166666666665, 536)"
"(597, 401)","(696, 403)","(884.3788461538462, 603)"
"(596, 401)","(696, 402)","(861.3333333333335, 613)"
"(598, 401)","(695, 402)","(851.225, 584)"
"(598, 401)","(696, 402)","(885.981981981982, 562)"
"(598, 401)","(695, 402)","(834.6480769230769, 536)"
"(597, 401)","(697, 402)","(874.4541160593793, 562)"
"(596, 401)","(696, 402)","(844.7692307692308, 562)"
"(596, 401)","(696, 403)","(850.9807692307692, 548)"
"(597, 401)","(696, 402)","(885.0991655969191, 562)"
"(596, 401)","(695, 402)","(821.9018218623482, 536)"
"(598, 401)","(696, 402)","(879.2564102564103, 562)"
"(597, 401)","(697, 403)","(864.0855263157895, 573)"
"(596, 401)","(695, 403)","(855.4399460188935, 548)"
"(597, 401)","(696, 402)","(879.5802631578948, 573)"
Accuarcy Avg,56.64420304693647,N/A
Accuarcy,"[57.03538723842299, 57.21362963450346, 56.487204997294626, 57.643986844730385, 57.207668678483515, 56.88122867394843, 55.472386607426664, 57.67535917091248, 55.304465344275506, 55.906281702819385, 56.57453572778105, 55.82271375453231, 57.66897561536051, 56.17127692476419, 57.044799236094285, 57.05083887483071, 55.84959397500131, 58.017779898381356, 56.02671325050699, 56.332199058831, 56.922949293025, 55.86249253067594]",N/A
Precision,0.06002464114213497,N/A
=====,=====,=====
END,TEST,HERE
